id,Full Address,Latitude,Longitude
1,"76225 Buenavista, Qro.",20.8255112,-100.4707524
2,"Carretera Queretaro San Luis Potosi, Av. La Montaña #100, 76220 Santa Rosa Jáuregui, Qro.",20.6434855,-100.4309094
3,"ATTA MICROPARQUE INDUSTRIAL PYME Carr, Carr Querétaro-Chichimequillas 500, 76250 Santiago de Querétaro, Qro.",20.5748094,-100.3598394
4,"San Luis Potosí - Santiago de Querétaro, 76220 Santa Rosa Jáuregui, Qro.",20.7505688,-100.4436482
5,"parque industrial poligono empresarial, Santa Rosa Jáuregui, Qro.",20.7414547,-100.447453
6,"Anillo Vial Fray Junípero Serra 2601-Piso 3 Int 302, Santa Fé, 76220 Juriquilla, Qro.",20.6912889,-100.4425097
7,"C. 1 Num 193, Jurica, 76100 Santiago de Querétaro, Qro.",20.6455624,-100.4286321
8,"Acceso III #42, Benito Juárez, 76089 Santiago de Querétaro, Qro.",20.6441455,-100.4353318
9,"Avenida 5 de febrero 308 Nte, Parque Industrial Jurica, 76120 Santiago de Querétaro, Qro.",20.645957,-100.4303
10,"Av. 5 de Febrero 1728, Jurica, 76100 Santiago de Querétaro, Qro.",20.6373848,-100.4284891
11,"Av Peñuelas #21 LB, Peñuelas, 76148 Santiago de Querétaro, Qro.",20.6292593,-100.3993736
12,"Camino Real de Carretas #393, Milenio 3ra Secc, 76060 Santiago de Querétaro, Qro.",20.5946977,-100.347868
13,"76235 Santiago de Querétaro, Qro.",20.6058267,-100.4871929
14,"76900, Fraccionamiento Lomas de Balvanera 3, Balvanera, 76908 El Pueblito, Qro.",20.5337239,-100.4586102
15,"Carretera estatal 100 km 8 + 850 Colonia galeras municipio, 76295 Querétaro, Qro.",20.6147222,-100.1569444
16,"Calle Ignacio Zaragoza, El Colorado, 76246 San Miguel la Piedad, Qro.",20.5652707,-100.2462135
17,"Carr. Querétaro-Tequisquiapan 52, Hacienda la cruz, 8 de Diciembre, 76069 Santiago de Querétaro, Qro.",20.5931306,-100.3769336
18,"Camino a San Pedro Ahuacatlan 3, Qro.",20.4341834,-99.9849356
19,"Oriente 2 #10, Nuevo San Juan, 76806 San Juan del Río, Qro.",20.3627633,-99.9613965
20,"Oriente 2 #10, Nuevo San Juan, 76806 San Juan del Río, Qro.",20.3627633,-99.9613965